student_cooperation.gt
Iteration 10 New: [0, 0, 60, 17, 35] diff:[0, 0, -1, 0, 0]
Iteration 20 New: [0, 0, 60, 17, 35] diff:[0, 0, 1, 0, 0]
Iteration 30 New: [0, 0, 62, 17, 35] diff:[0, 0, 1, 0, 0]
Iteration 40 New: [0, 0, 60, 17, 35] diff:[0, 0, -1, 0, 0]
Iteration 50 New: [0, 0, 60, 17, 35] diff:[0, 0, -1, 0, 0]
Iteration 60 New: [0, 0, 60, 17, 35] diff:[0, 0, -1, 0, 0]
Iteration 70 New: [0, 0, 60, 17, 35] diff:[0, 0, -1, 0, 0]
Iteration 80 New: [0, 0, 58, 17, 35] diff:[0, 0, -1, 0, 0]
Iteration 90 New: [0, 0, 60, 17, 35] diff:[0, 0, 1, 0, 0]
Iteration 100 New: [0, 0, 60, 17, 35] diff:[0, 0, 1, 0, 0]
Iteration 110 New: [0, 0, 60, 17, 35] diff:[0, 0, 1, 0, 0]
Iteration 120 New: [0, 0, 60, 17, 35] diff:[0, 0, -1, 0, 0]
Iteration 130 New: [0, 0, 58, 17, 35] diff:[0, 0, -1, 0, 0]
Iteration 140 New: [0, 0, 60, 17, 35] diff:[0, 0, -1, 0, 0]
Iteration 150 New: [0, 0, 63, 17, 34] diff:[0, 0, 0, 0, -1]
Iteration 160 New: [0, 0, 67, 17, 34] diff:[0, 0, 1, 0, 0]
Iteration 170 New: [0, 0, 74, 17, 33] diff:[0, 0, 1, 0, 0]
Iteration 180 New: [0, 0, 80, 17, 33] diff:[0, 0, 1, 0, 0]
Iteration 190 New: [0, 0, 81, 17, 32] diff:[0, 0, 1, 0, 0]
Iteration 200 New: [0, 0, 85, 17, 32] diff:[0, 0, 1, 0, 0]
Iteration 210 New: [0, 0, 92, 17, 31] diff:[0, 0, 1, 0, 0]
Iteration 220 New: [0, 0, 94, 17, 31] diff:[0, 0, 1, 0, 0]
Iteration 230 New: [0, 0, 99, 17, 30] diff:[0, 0, -1, 0, 0]
Iteration 240 New: [0, 0, 106, 17, 29] diff:[0, 0, 1, 0, 0]
Iteration 250 New: [0, 0, 110, 17, 29] diff:[0, 0, 1, 0, 0]
Iteration 260 New: [0, 0, 112, 17, 29] diff:[0, 0, 1, 0, 0]
Iteration 270 New: [0, 0, 117, 17, 28] diff:[0, 0, 1, 0, 0]
Iteration 280 New: [0, 0, 115, 17, 28] diff:[0, 0, -1, 0, 0]
Iteration 290 New: [0, 0, 119, 17, 28] diff:[0, 0, -1, 0, 0]
Iteration 300 New: [0, 0, 117, 17, 28] diff:[0, 0, 1, 0, 0]
Iteration 310 New: [0, 0, 120, 17, 27] diff:[0, 0, 1, 0, 0]
Iteration 320 New: [0, 0, 122, 17, 27] diff:[0, 0, 1, 0, 0]
Iteration 330 New: [0, 0, 127, 18, 27] diff:[0, 0, 1, 0, 0]
Iteration 340 New: [0, 0, 126, 17, 27] diff:[0, 0, -1, 0, 0]
Iteration 350 New: [0, 0, 131, 17, 26] diff:[0, 0, -1, 0, 0]
Iteration 360 New: [0, 0, 135, 17, 26] diff:[0, 0, 1, 0, 0]
Iteration 370 New: [0, 0, 140, 17, 25] diff:[0, 0, -1, 0, 0]
Iteration 380 New: [0, 0, 146, 17, 25] diff:[0, 0, 1, 0, 0]
Iteration 390 New: [0, 0, 148, 17, 25] diff:[0, 0, 1, 0, 0]
Iteration 400 New: [0, 0, 150, 17, 25] diff:[0, 0, 1, 0, 0]
Iteration 410 New: [0, 0, 150, 17, 25] diff:[0, 0, 1, 0, 0]
Iteration 420 New: [0, 0, 153, 17, 24] diff:[0, 0, -1, 0, 0]
Iteration 430 New: [0, 0, 155, 17, 24] diff:[0, 0, 1, 0, 0]
Iteration 440 New: [0, 0, 160, 17, 23] diff:[0, 0, -1, 0, 0]
Iteration 450 New: [0, 0, 164, 17, 23] diff:[0, 0, 1, 0, 0]
Iteration 460 New: [0, 0, 167, 17, 22] diff:[0, 0, -1, 0, 0]
Iteration 470 New: [0, 0, 173, 17, 22] diff:[0, 0, 1, 0, 0]
Iteration 480 New: [0, 0, 173, 17, 22] diff:[0, 0, 1, 0, 0]
Iteration 490 New: [0, 0, 178, 17, 21] diff:[0, 0, 1, 0, 0]
Iteration 500 New: [0, 0, 180, 17, 21] diff:[0, 0, 1, 0, 0]
Iteration 510 New: [0, 0, 178, 17, 21] diff:[0, 0, 1, 0, 0]
Iteration 520 New: [0, 0, 178, 17, 21] diff:[0, 0, -1, 0, 0]
Iteration 530 New: [0, 0, 181, 17, 20] diff:[0, 0, 0, 0, -1]
Iteration 540 New: [0, 0, 185, 17, 20] diff:[0, 0, 1, 0, 0]
Iteration 550 New: [0, 0, 187, 17, 20] diff:[0, 0, -1, 0, 0]
Iteration 560 New: [0, 0, 192, 17, 19] diff:[0, 0, -1, 0, 0]
Iteration 570 New: [0, 0, 200, 17, 19] diff:[0, 0, 1, 0, 0]
Iteration 580 New: [0, 0, 200, 17, 19] diff:[0, 0, -1, 0, 0]
Iteration 590 New: [0, 0, 200, 17, 19] diff:[0, 0, -1, 0, 0]
Iteration 600 New: [0, 0, 203, 17, 18] diff:[0, 0, 1, 0, 0]
Iteration 610 New: [0, 0, 205, 17, 18] diff:[0, 0, -1, 0, 0]
Iteration 620 New: [0, 0, 207, 17, 18] diff:[0, 0, 1, 0, 0]
Iteration 630 New: [0, 0, 211, 17, 18] diff:[0, 0, -1, 0, 0]
Iteration 640 New: [0, 0, 220, 17, 17] diff:[0, 0, 1, 0, 0]
Iteration 650 New: [0, 0, 223, 17, 16] diff:[0, 0, 0, 0, -1]
Iteration 660 New: [0, 0, 230, 17, 15] diff:[0, 0, 0, 0, -1]
Iteration 670 New: [0, 0, 239, 17, 14] diff:[0, 0, 1, 0, 0]
Iteration 680 New: [0, 0, 245, 17, 14] diff:[0, 0, 1, 0, 0]
Iteration 690 New: [0, 0, 254, 17, 13] diff:[0, 0, 1, 0, 0]
Iteration 700 New: [0, 0, 261, 17, 12] diff:[0, 0, -1, 0, 0]
Iteration 710 New: [0, 0, 263, 17, 12] diff:[0, 0, 1, 0, 0]
Iteration 720 New: [0, 0, 263, 17, 12] diff:[0, 0, -1, 0, 0]
Iteration 730 New: [0, 0, 269, 18, 11] diff:[0, 0, 1, 0, 0]
Iteration 740 New: [0, 0, 273, 18, 11] diff:[0, 0, 1, 0, 0]
Iteration 750 New: [0, 0, 273, 18, 11] diff:[0, 0, 1, 0, 0]
Iteration 760 New: [0, 0, 278, 18, 10] diff:[0, 0, -1, 0, 0]
Iteration 770 New: [0, 0, 285, 18, 9] diff:[0, 0, -1, 0, 0]
Iteration 780 New: [0, 0, 292, 18, 8] diff:[0, 0, 1, 0, 0]
Iteration 790 New: [0, 0, 295, 18, 7] diff:[0, 0, 0, 0, -1]
Iteration 800 New: [0, 0, 302, 18, 6] diff:[0, 0, 1, 0, 0]
Iteration 810 New: [0, 0, 308, 18, 6] diff:[0, 0, 1, 0, 0]
Iteration 820 New: [0, 0, 313, 18, 5] diff:[0, 0, 1, 0, 0]
Iteration 830 New: [0, 0, 318, 18, 4] diff:[0, 0, 0, 0, -1]
Iteration 840 New: [0, 0, 324, 18, 4] diff:[0, 0, 1, 0, 0]
Iteration 850 New: [0, 0, 329, 18, 3] diff:[0, 0, 1, 0, 0]
Iteration 860 New: [0, 0, 335, 18, 3] diff:[0, 0, 1, 0, 0]
Iteration 870 New: [0, 0, 342, 18, 2] diff:[0, 0, 1, 0, 0]
Iteration 880 New: [0, 0, 349, 18, 1] diff:[0, 0, -1, 0, 0]
Iteration 890 New: [0, 0, 353, 18, 1] diff:[0, 0, 1, 0, 0]
Iteration 900 New: [0, 0, 354, 18, 0] diff:[0, 0, 1, 0, 0]
Iteration 910 New: [0, 0, 362, 16, 0] diff:[0, 0, 1, 0, 0]
Iteration 920 New: [0, 0, 369, 13, 0] diff:[0, 0, 1, 0, 0]
Iteration 930 New: [0, 0, 376, 12, 0] diff:[0, 0, 0, -1, 0]
Iteration 940 New: [0, 0, 383, 11, 0] diff:[0, 0, -1, 0, 0]
Iteration 950 New: [0, 0, 386, 10, 0] diff:[0, 0, -1, 0, 0]
Iteration 960 New: [0, 0, 394, 8, 0] diff:[0, 0, 1, 0, 0]
Iteration 970 New: [0, 0, 399, 7, 0] diff:[0, 0, -1, 0, 0]
Iteration 980 New: [0, 0, 404, 6, 0] diff:[0, 0, 1, 0, 0]
Iteration 990 New: [0, 0, 409, 5, 0] diff:[0, 0, 1, 0, 0]
Iteration 1000 New: [0, 0, 416, 4, 0] diff:[0, 0, 1, 0, 0]
Iteration 1010 New: [0, 0, 422, 2, 0] diff:[0, 0, 0, -1, 0]
Iteration 1020 New: [0, 0, 430, 0, 0] diff:[0, 0, 1, 0, 0]
