student_cooperation.gt
Iteration 10 New: [0, 0, 62, 17, 35] diff:[0, 0, 1, 0, 0]
Iteration 20 New: [0, 0, 62, 17, 35] diff:[0, 0, 1, 0, 0]
Iteration 30 New: [0, 0, 60, 17, 35] diff:[0, 0, -1, 0, 0]
Iteration 40 New: [0, 0, 60, 17, 35] diff:[0, 0, 1, 0, 0]
Iteration 50 New: [0, 0, 60, 17, 35] diff:[0, 0, 1, 0, 0]
Iteration 60 New: [0, 0, 60, 17, 35] diff:[0, 0, -1, 0, 0]
Iteration 70 New: [0, 0, 62, 17, 35] diff:[0, 0, 1, 0, 0]
Iteration 80 New: [0, 0, 65, 17, 34] diff:[0, 0, -1, 0, 0]
Iteration 90 New: [0, 0, 65, 17, 34] diff:[0, 0, -1, 0, 0]
Iteration 100 New: [0, 0, 65, 17, 34] diff:[0, 0, 1, 0, 0]
Iteration 110 New: [0, 0, 65, 17, 34] diff:[0, 0, -1, 0, 0]
Iteration 120 New: [0, 0, 65, 17, 34] diff:[0, 0, -1, 0, 0]
Iteration 130 New: [0, 0, 65, 17, 34] diff:[0, 0, -1, 0, 0]
Iteration 140 New: [0, 0, 67, 17, 34] diff:[0, 0, -1, 0, 0]
Iteration 150 New: [0, 0, 67, 17, 34] diff:[0, 0, -1, 0, 0]
Iteration 160 New: [0, 0, 67, 17, 34] diff:[0, 0, 1, 0, 0]
Iteration 170 New: [0, 0, 67, 17, 34] diff:[0, 0, 1, 0, 0]
Iteration 180 New: [0, 0, 72, 17, 33] diff:[0, 0, -1, 0, 0]
Iteration 190 New: [0, 0, 72, 17, 33] diff:[0, 0, -1, 0, 0]
Iteration 200 New: [0, 0, 77, 17, 32] diff:[0, 0, 0, 0, -1]
Iteration 210 New: [0, 0, 81, 17, 32] diff:[0, 0, -1, 0, 0]
Iteration 220 New: [0, 0, 79, 17, 32] diff:[0, 0, -1, 0, 0]
Iteration 230 New: [0, 0, 79, 17, 32] diff:[0, 0, -1, 0, 0]
Iteration 240 New: [0, 0, 85, 17, 32] diff:[0, 0, 1, 0, 0]
Iteration 250 New: [0, 0, 88, 17, 31] diff:[0, 0, -1, 0, 0]
Iteration 260 New: [0, 0, 92, 17, 31] diff:[0, 0, 1, 0, 0]
Iteration 270 New: [0, 0, 97, 17, 30] diff:[0, 0, 1, 0, 0]
Iteration 280 New: [0, 0, 97, 17, 30] diff:[0, 0, 1, 0, 0]
Iteration 290 New: [0, 0, 97, 17, 30] diff:[0, 0, 1, 0, 0]
Iteration 300 New: [0, 0, 95, 17, 30] diff:[0, 0, 1, 0, 0]
Iteration 310 New: [0, 0, 97, 17, 30] diff:[0, 0, 1, 0, 0]
Iteration 320 New: [0, 0, 95, 17, 30] diff:[0, 0, -1, 0, 0]
Iteration 330 New: [0, 0, 95, 17, 30] diff:[0, 0, 1, 0, 0]
Iteration 340 New: [0, 0, 93, 17, 30] diff:[0, 0, -1, 0, 0]
Auto-stopped algorithm at 350th iteration

A target 10000 more iterations took 1214711655 ns.
Iteration 350 New: [0, 0, 95, 17, 30] diff:[0, 0, 1, 0, 0]
Iteration 360 New: [0, 0, 97, 17, 30] diff:[0, 0, -1, 0, 0]
Iteration 370 New: [0, 0, 97, 17, 30] diff:[0, 0, 1, 0, 0]
Iteration 380 New: [0, 0, 97, 17, 30] diff:[0, 0, -1, 0, 0]
Iteration 390 New: [0, 0, 99, 17, 30] diff:[0, 0, -1, 0, 0]
Iteration 400 New: [0, 0, 97, 17, 30] diff:[0, 0, 1, 0, 0]
Iteration 410 New: [0, 0, 95, 17, 30] diff:[0, 0, 1, 0, 0]
